9base 6-5
libtommath 1.0.1-1
libtool 2.4.6+40+g6ca5e224-5
libunistring 0.9.9-1
libunwind 1.2.1-1
libusb 1.0.22-1
libusbmuxd 1.0.10+13+gc724e70-1
libutempter 1.1.6-2
libutil-linux 2.32-2
libuv 1.20.0-1
libva 2.1.0-1
libvdpau 1.1.1+3+ga21bf7a-1
libvisio 0.1.6-3
libvisual 0.4.0-7
libvoikko 4.1.1-1
libvorbis 1.3.6-1
libvpx 1.7.0-1
libvterm 0.1.git1.c4317a6-2
libwacom 0.29-1
libwbclient 4.7.6-1
libwebp 0.6.1-1
libwmf 0.2.8.4-14
libwpd 0.10.2-1
libwpg 0.3.2-1
libwps 0.4.8-1
libx11 1.6.5-1
libx264 2:152.20171224-1
libxau 1.0.8-3
libxaw 1.0.13-1
libxcb 1.13-1
libxcomposite 0.4.4-2
libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.8.0-1
libxkbcommon-x11 0.8.0-1
libxkbfile 1.0.9-1
libxml2 2.9.8-2
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-2
libxrender 0.9.10-1
libxshmfence 1.3-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzmf 0.0.2-3
licenses 20171006-1
linux 4.15.14-1
linux-api-headers 4.14.8-1
linux-firmware 20180314.4c0bf11-1
llvm 6.0.0-4
llvm-libs 6.0.0-4
lm_sensors 3.4.0-2
logrotate 3.13.0-1
lolcat 90.8.8-2
lpsolve 5.5.2.5-2
lsof 4.90-2
lua 5.3.4-2
lua51 5.1.5-6
lua52 5.2.4-2
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-3
lua52-lpeg 1.0.1-1
lua52-luajson 1.3.4-1
lua52-socket 20160311-1
luajit 2.0.5-1
lvm2 2.02.177-5
lxc 1:3.0.0-1
lz4 1:1.8.1.2-1
lzo 2.10-1
m17n-db 1.8.0-2
m17n-lib 1.8.0-2
m4 1.4.18-1
macchanger 1.7.0-2
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.8.2-1
man-pages 4.15-1
mdadm 4.0-1
mercurial 4.5.2-1
mesa 17.3.7-1
minizip 1:1.2.11-2
mjpegtools 2.1.0-3
mkinitcpio 24-2
mkinitcpio-busybox 1.28.2-1
mobile-broadband-provider-info 20170310-1
mozilla-common 1.4-4
mpfr 4.0.1-1
mpg123 1.25.10-1
mps-youtube 0.2.8-1
mpv 1:0.27.2-1
msgpack-c 2.1.5-2
mtdev 1.1.5-1
mtools 4.0.18-4
mtr 0.92-1
nano 2.9.5-1
ncurses 6.1-3
ncurses5-compat-libs 6.0-1
neon 0.30.2-2
neovim 0.2.2-3
net-snmp 5.7.3-7
net-tools 1.60.20180212git-1
netctl 1.16-1
nettle 3.4-1
network-manager-applet 1.8.11dev+12+ga37483c1-1
networkmanager 1.10.6-3
networkmanager-qt 5.44.0-1
nghttp2 1.31.0-1
nilfs-utils 2.2.7-1
nitrogen 1.6.1-1
nm-connection-editor 1.8.11dev+12+ga37483c1-1
nmap 7.70-1
nmon 16g-1
node-gyp 3.6.2-1
nodejs 9.10.1-1
noto-fonts 20171025-2
noto-fonts-cjk 20170601-1
noto-fonts-emoji 20180102-2
npm 5.8.0-1
npth 1.5-1
nspr 4.19-1
nss 3.36-1
ntfs-3g 2017.3.23-1
ntp 4.2.8.p11-1
ocaml-biniou 1.2.0-1
ocaml-easy-format 1.3.1-1
ocaml-pcre 7.2.3-2
ocaml-sqlite3 4.1.3-1
ocaml-yojson 1.4.1-1
ocamlnet 4.1.5-1
ocl-icd 2.2.12-1
openal 1.18.2-1
opencl-headers 2:2.2.20170516-1
opencore-amr 0.1.5-1
openexr 2.2.1-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssh 7.7p1-1
openssl 1.1.0.h-1
openssl-1.0 1.0.2.n-1
opus 1.2.1-1
orc 0.4.28-1
os-prober 1.76-1
p11-kit 0.23.10-1
package-query 1.8-1
pacman 5.0.2-2
pacman-mirrorlist 20180224-1
pacutils 0.6.2-1
pam 1.3.0-1
pambase 20171006-1
pango 1.42.0-1
pangomm 2.40.1-2
parted 3.2-6
patch 2.7.6-1
pavucontrol 1:3.0+23+g335c26c-1
pciutils 3.5.6-1
pcmciautils 018-7
